scene_id	source_side	planet_date	year_month	planet_path	reason	available_stage_count	available_stages	available_candidate_count	best_candidate_date	best_candidate_day_diff
lower__20200518_160610_07_2304_3B_AnalyticMS_SR_8b_clip	lower	2020-05-18	2020-05	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_05_347144c1-6706-4f8a-bb48-becf953da024/347144c1-6706-4f8a-bb48-becf953da024/PSScene/20200518_160610_07_2304_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-05-18	0
lower__20200712_155903_42_2271_3B_AnalyticMS_SR_8b_clip	lower	2020-07-12	2020-07	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_07_fa1621d8-017b-4bb1-9d9f-030250057dab/fa1621d8-017b-4bb1-9d9f-030250057dab/PSScene/20200712_155903_42_2271_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-07-14	2
lower__20200718_160608_87_2259_3B_AnalyticMS_SR_8b_clip	lower	2020-07-18	2020-07	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_07_fa1621d8-017b-4bb1-9d9f-030250057dab/fa1621d8-017b-4bb1-9d9f-030250057dab/PSScene/20200718_160608_87_2259_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-07-17	1
lower__20200910_155437_01_2206_3B_AnalyticMS_SR_8b_clip	lower	2020-09-10	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200910_155437_01_2206_3B_AnalyticMS_SR_8b_clip.tif	no_overlap	1	pm5	2	2020-09-12	2
lower__20200914_165141_09_2424_3B_AnalyticMS_SR_8b_clip	lower	2020-09-14	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200914_165141_09_2424_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-12	2
lower__20200917_160036_04_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-09-17	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200917_160036_04_2278_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-09-17	0
lower__20201110_160953_40_2279_3B_AnalyticMS_SR_8b_clip	lower	2020-11-10	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201110_160953_40_2279_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-11-09	1
lower__20201112_160135_61_2262_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_160135_61_2262_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-11	1
lower__20201112_165347_15_2274_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_165347_15_2274_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	1	2020-11-11	1
lower__20201112_165525_30_2412_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201112_165525_30_2412_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-11	1
